ScanDate	TesterID	ProductModel	Line	StationGroup	DTNo	AssetNo	AssetType	GPIB_Address	ParentSerialNo	Vendor	Model	SerialNo	Firmware	Channels
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Instrument	1	N/A	Chroma	6334A	6334A0013941	3.02	N/A
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Module	N/A	6334A0013941	Chroma	63302A	63302A004148	3	1;2
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Module	N/A	6334A0013941	Chroma	63302A	63302A004149	3	3;4
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Module	N/A	6334A0013941	Chroma	63303A	63303A040531	3	5;6
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Module	N/A	6334A0013941	Chroma	63303A	63303A040509	3	7;8
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Instrument	8	N/A	Chroma	80611A	8.06112E+11	4.21	N/A
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Instrument	14	N/A	Chroma	63210A-150-1000	63210AL01751	2.2	N/A
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Instrument	15	N/A	Chroma ATE	66205	6.6205E+11	1.1	N/A
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Instrument	23	N/A	Keysight Technologies	34461A	TW00060230	2.17-331-2.12-2.09A-2.7.0	N/A
6/24/2026 18:08	CA36	ECD16010089	CD1	ATS1 CDBU	N/A	N/A	Instrument	30	N/A	Chroma	61815	9.61815E+13	1.11h	N/A
